# DOKUMENTATION
# "-"  = -er, -e, -es
# "--" = -, -er, -e, -es
# "^"  = a-, A-
# "+"  = -, -en / -n (wenn -e)
# Verbotene Kombinationen:
#  + mit -/--/^

#idee: links original, [leerzeichen möglich] rechts übersetzung(en; mehrere mit | trennen)

djava;java

^programmpaket;package
einschleusen;import

# Oberbegriffe
öffentlich-;public
beschützt-;protected
privat-;private
abstrakt-;abstract

statisch-;static
endgültig-;final

^klasse;class
^aufzählung;enum
^ganzzahlgesicht;interface
^zwischengesicht;interface

erweitert;extends
implementiert;implements

^wichtigste;main


# Schlüsselworte
wahr;true
falsch;false

neu--;new
zurück;return

# Datentypen
^leere;void

ganz--;int
lang--;long
kurz--;short

fließ;float
fließend--;float
doppel;double
doppelt-;double

aussagenlogisch--;boolean
binärfolge;byte

zeichen;char
buchstabe;char
^faden;String


# Bedingungen
falls;if
sonst;else
schalte+;switch
^fall;case
^standard;default

versuche+;try
fange+;catch


# Schleifen
für;for
mach+;do
solange;while
zerbreche+;break


# Memes (können später noch umsortiert werden)
#ich muss raus;return
